AAAS|Auctioneer Andrew Schechter|
ABTT|Air Brush Tattoons|
ABVM|Everyman|
ACHA|Alice Conway- Harpist|
AFPI|Ann Finn|
AJPI|AJ Luca|
AJSM|DJ AJ Smith|
AKMQ|Marquise|10
AKSC|Sound Connection|10
AKSN|Sound Nation|10
AKVP|The VIPs|10
ALAI|Alain Nu|
ALAN|Alan Benson|
ALBI|Aleksis Bilmanis|
ALMK|Mike Moniodis|
ALST|All Stage & Sound| Inc.|
AMAR|Amaretto|
AMCR|Amilcar Cruz|
AMGS|McGinley Gospel Dixieland Jazz Ensemble|
AMIX|Amusitronix|
AMPH|Amazing Photos!|
ANAS|Anastasia Summers|
ARND|Around The Block|
ASSS|Alana Shor Silverman|
BACK|Good Life Theatre|
BAPL|Baltimore Ravens - Player|
BARA|Baltimore Ravens - Mascot|
BARC|Baltimore Ravens Cheerleaders|
BBDB|Deanna Bogart|
BCAL|Big Cam and the Lifters|
BCGS|Bill Crews & The Gospel Sensations|
BEAS|Benefit Auction Specialists|
BENC|Benjamin Corey|
BEYO|Beyond Balloons|
BFIM|Bonnie Fairbank|
BFIN|Billy Finch|
BHAR|Bill Harris|
BHEC|Bob Heck|
BIGR|Bill Gross|
BITT|Bittersweet|
BJDN|BanjerDan|
BLNT|Bella Notte Solutions|
BLSK|Blue Sky 5|
BLUE|Blue Sky Puppet Theatre|
BLZE|Blaze|
BMBE|MBE Entertainment|
BOBM|DJ Bob Mills|
BRAB|Bruce's Airbrush|
BRAL|Brass Alley|
BRID|The Bridge|
BRKO|Brian Kooken|
BRLI|Brian Litz|
BRTP|DJ Britt|
BRUS|Bruce Swaim|
BRVI|Brian Violett|
BSOM|Bob Somerby|
CAIS|Caiso|
CALM|The Calmes Trio|
CAPE|Charlie Peterson|
CAPS|Capitol Steps|
CAST|Cast Of Thousands|
CATA|Catalina|
CBSA|Charles Bailey|
CBSP|Creative Balloons and More| Inc.|
CCKL|Charm City Klezmer|
CDLB|Los del Barrio|
CEMM|Milkshake Music| Inc.|
CHAM|Chris America|
CHBR|Charles Brady|
CHCO|Champange Consort|
CHEK|Checkered Past|
CHMS|Cheeky Monkey Sideshow|
CHOC|Capitol Chocolate Fountains|
CHPE|Chris Petruccelli|
CHRP|Christmas Bel Canto|
CJCJ|Cris Jacobs Band|
COCS|Christopher Smith|
CPTQ|Captain Quint|
CRCL|Crazy Clix|
CRNI|Carnival Day|
CRVD|Carolyn Videography|
CTET|Cirque-Tacular Entertainment LLC|
CWHT|Hit Time|
CYKS|Kaleidoscope|
DAMA|Dawn Maclear|
DAMI|Damian Hart|
DBAC|David Bach|
DCBG|Woodwinds Productions| LLC|
DCFI|DC's Finest|
DCIM|David Caruso Look-a-Like|
DFRD|Dana Friend|
DFSK|Smooth Kentucky|
DHNJ|Dan Hurley|
DIAM|Diamond Alley|
DISO|Jessie & James|
DITP|Dance in Time Productions|
DIXI|Dixie Power Trio|
DJAT|DJ Ateet|
DJFY|DJ Frank|
DJMS|DJ Stix|
DJTK|TK The DJ|
DMTS|Tall in the Saddle|
DNCH|Don Chapman|
DNMT|Dean Martin Impersonator|
DOCS|Doc Scantlin|
DOXP|Donegal Xpress|
DREF|Elle Fitzgerald|
DROR|Doctors Orders|
DSTE|Dick Steiner|
DUEL|Dueling Pianos|
DVRO|Rock Quartet|
DVST|Da Vinci Strings|
DWCM|The David Wayne Band|
DZEE|David Zee|
EDDO|Ed Downey|
EEJR|Free Spirit|
EELO|DJ Elon|
ELAN|Elan Artists|
ELIT|Elite|
ELPE|Elite Party Entertainment|
ELRE|Elvis E|
ELWH|DJ Elliott White|
EROK|DJ Erok|
ESCA|Escapade|
ESCO|Eric Scott|
EUGE|Eugene Johnson|
EXPR|Express|
FANC|Fancy Pants|
FANF|Fan Fan & Friends|
FAWO|Fantasy World Entertainment|
FCAC|Vintage Entertainment|
FCAS|Frank Cassel|
FEFE|Full Effect|
FFGT|Four Get About it|
FFPR|Fast Forward Projector|
FLEN|Fifth Level Entertainment| LLC|
FMMO|Dj Fred Moss|
FOAM|Air Brush Magic|9
FOCP|Click Pix|9
FOIM|Imagine Me|9
FORM|Foto Remix|9
FOSI|A Sweet Idea|9
FOSS|Laserography|9
FOTO|Foto2Go|9
FOZO|FotoZone|9
FPFW|Face Works Events|
FRSC|So Fresh Ent. MC Chad R|1
FRSD|So Fresh Ent. MC|1
FRSH|Fresh|1
FRSM|So Fresh Ent. MC Michael|1
FRSP|So Fresh Ent. MC Purnell|1
FRSR|So Fresh Ent. MC Moses|1
FSBT|Black Tie|4
FSEN|Encore|4
FSPT|Prime Time|4
FSSP|Spectrum|4
FSMI|Millennium|4
FTDJ|Tyler Joyce|
FUGI|The Fugitives|
FWEW|Franklin Weisberg|
FWOO|Fred Woodaman|
GALA|Gary Law Photography|
GALX|Galaxy|
GAOR|GA Orndorff|
GATC|Geraldine Amaral|
GEJM|George Jamison|
GLAL|Glyde Productions- Ali|2
GLAR|Glyde Productions- A2|2
GLCC|Glyde Productions- MC Chris Cross|2
GLIS|Glyde Productions- Ish|2
GLIC|Glyde Productions- Ice|2
GLPD|Glyde Productions|2
GLJP|Glyde Productions- Joey P|2
GLSS|Glyde Productions- Sunshine|2
GLKE|Glyde Productions- Keith|2
GLKK|Glyde Productions- Koko|2
GLKO|Glyde Productions- Kayo|2
GLSP|Glyde Productions- Spots|2
GLYD|Glyde|2
GMAP|Greg May|
GOBR|Greg O'Brien|
GRAP|Great American Party|
GREA|Greaseband|
GREG|Greg Hicks|
GRLU|Greg Lupton|
GTPT|Georgetown Phantoms|
GYPS|Gypsy Strings|
HANO|The Have Nots!|
HARM|Figgy Puddings|
HCBA|Haute Chile|
HEAR|The Heartbeats|
HEHC|Ultimate Amusements|
HFIM|Holly Faris|
HGML|Main Line Affair|
HMIN|Howard Mincone|
HSBT|Blues Therapy|
HUCP|Fabulous Hubcaps|
ILYA|ilyAIMY|
INVI|Invitation|
IREX|The Exiles|
IZTR|Izolda|
JABR|The Northern Light| Inc.|
JANN|Janine Wilson|
JAYC|Jay Cooley|
JCNP|New Palladium|
JEDU|Jed Duvall|
JFOL|Joe Falero & The Latin All Stars|
JGRO|Jack Groves|
JIMF|Jim Frank|
JIMW|Jim Wass|
JINB|Jim Nieb|
JLEV|Jason Levinson|
JMAA|AfroBop Alliance|
JMJJ|Joey and the Jammers|
JMWE|JMW Entertainment|
JNMA|Josh Norris Interactive Magic|
JOBE|John Bell|
JOCA|DJ Jo|
JODA|John Dawson|
JOSO|MC Jordan|
JPEN|Proper Entertainment|
JPSE|Jackie Payne / Steve Edmonson Band|
JPST|JumpStreet|
JRCR|Jr Cline & The Recliners|
JSSH|Joanna Sheehan|
JSTA|Jack Stanton|
JTFA|Fresh Air|
JTIL|Jason Tillman|
JTTM|Time Machine|
JUCL|Jubilee the Clown|
KBER|Thin Air Productions|
KDEV|Karen Devitt|
KKAI|Kagetsu Kai|
KLAS|The Klassix|
KLPA|Keith Larsen Sound|
KMCA|Christian Kiki Melendez|
KOTO|Koto Player|
KPSS|Sachiko Smith|
KYED|Kyle Edgell Caricature Entertainment|
LALU|Lookalikes-USA|
LDAX|Linda Axelrod|
LEBA|Lee Bailey|
LEOE|Smooth Pan Sounds|
LESG|Lemonade Shaking Guy|
