AAAS|Auctioneer Andrew Schechter
ABBM|Andy Bullis
ABIR|Abirose
ABOU|About Face
ABTT|Air Brush Tattoons
ABVM|Everyman
ACCO|Accordion Plus
ACHA|Alice Conway- Harpist
ACPD|Alan Campbell Pipes & Dru
ADBB|Austin DeLone Blues Band
ADMI|Admirals
AEVA|Andy Evans
AFPI|Ann Finn
AGKD|Ashtin Golt
AHAR|Alexandria Harmonizers
AIME|Art In Motion Entertainment
AIRF|Air Force Band
AIRP|Airplay
AJPI|AJ Luca
AJSM|DJ AJ Smith
AJVA|A & J Video Amusements
AKMQ|Marquise
AKSC|Sound Connection
AKSN|Sound Nation
ALAI|Alain Nu
ALAN|Alan Benson
ALBI|Aleksis Bilmanis
ALJS|Avalon Lights
ALLO|Allons-y
ALMF|Anibal Lopez & Mariachi Fiesta Trio
ALMK|Mike Moniodis
ALPE|Alpen Falshen Dancers
ALRF|Alexandria Royal Fyfes
ALST|"All Stage & Sound| Inc."
AMAR|Amaretto
AMCR|Amilcar Cruz
AMER|American Acrobats
AMGS|McGinley Gospel Dixieland Jazz Ensemble
AMIX|Amusitronix
AMPH|Amazing Photos!
AMUU|Amusements Unlimited
ANAS|Anastasia Summers
APPL|Apple Dumpling The Clown
ARND|Around The Block
ARTO|The Arlingtones
ARTW|Artworks
ASSS|Alana Shor Silverman
AUDI|Audio Visual Imagineering
AWRD|All Ways Rockin' Dance team
BACK|Good Life Theatre
BALP|Barry Louis Polisar
BAMB|Bambo
BAOB|Barry O'brien
BAPL|Baltimore Ravens - Player
BARA|Baltimore Ravens - Mascot
BARC|Baltimore Ravens Cheerleaders
BARL|Barbara Reils
BARN|Barney
BATT|Battersby Duo
BAVA|Bavarian Duo
BAVP|Barbara Van Patten
BBCH|Bbchael O'hamlin
BBDB|Deanna Bogart
BBRA|Benny Braxton
BBSU|Bbs Unlimited
BCAL|Big Cam and the Lifters
BCGS|Bill Crews & The Gospel Sensations
BCMO|Moonbounce
BCOM|Beth and Command Performance
BCYR|Becket Cyrus
BDUN|Barbara Dunietz
BEAM|Bernie's Amusements
BEAS|Benefit Auction Specialists
BEAT|Beatlemania
BEHO|Bernie Horsman
BELA|Bel Airs
BENC|Benjamin Corey
BENZ|Zweig Photography
BEYO|Beyond Balloons
BFIM|Bonnie Fairbank
BFIN|Billy Finch
BGEI|Becky Geiger
BGUR|Barry Gurley
BHAR|Bill Harris
BHEC|Bob Heck
BHOW|Ben Howard
BIGC|Big Country Amusements
BIGR|Bill Gross
BISC|Biscaynes
BITT|Bittersweet
BJBB|Big Jesse and his Blues Band
BJDN|BanjerDan
BJIR|Benji Rafaeli
BJOH|Bernard Johnson
BLNT|Bella Notte Solutions
BLSK|Blue Sky 5
BLUE|Blue Sky Puppet Theatre
BLZE|Blaze
BMAN|Barbara Mandrell
BMBE|MBE Entertainment
BMIT|Bob Mitchell
BOBM|Slim Bob New Electrics Blues Band
BPER|Barbara Perry
BRAB|Bruce's Airbrush
BRAL|Brass Alley
BRAS|Brass Quintet
BRFO|Bruce Follmer
BRID|The Bridge
BRIN|Brian Nelson
BRKO|Brian Kooken
BRLI|Brian Litz
BRTP|DJ Britt
BRUM|Bruce Mitchell
BRUN|Bruno Nasta
BRUS|Bruce Swaim
BRVI|Brian Violett
BRYS|Bryan Stuller
BSEI|Barbara Seidman
BSHE|Ben Sherman
BSMI|Becky Smith
BSOM|Bob Somerby
BSWA|Belinda Swanson
BTAY|Barry Taylor
BTBE|Bobby & The Believers
BUBB|Bubbles The Clown
BURN|Burnette Thompson
BWOO|Barry Wood
CABC|Caberet Carols
CAIS|Caiso
CALM|The Calmes Trio
CAPE|Charlie Peterson
CAPS|Capitol Steps
CARF|Carol Falvo
CARK|Carolyn Kessler
CARM|Carmelo Pino
CARN|Carolyn Kellock
CAST|Cast Of Thousands
CATA|Catalina
CATP|Cathy Palmer
CBSA|Charles Bailey
CBSP|"Creative Balloons and More| Inc."
CCKL|Charm City Klezmer
CCOC|Caribbean Cocktails
CDLB|Los del Barrio
CELI|Mostly Music
CEMM|"Milkshake Music| Inc."
CENT|Robert Judson
CHAM|Chris America
CHBR|Charles Brady
CHCO|Champange Consort
CHEK|Checkered Past
CHMR|Chuck Marcus
CHMS|Cheeky Monkey Sideshow
CHOC|Capitol Chocolate Fountains
CHPE|Chris Petruccelli
CHRK|Chris Kyriopoulos
CHRP|Christmas Bel Canto
CHUB|Chuck Bollinger
CIIC|Carmen's Italian Ice & Cafe
CLAS|Classified
CLWN|Clown
CMCO|The Fabulous Bagel Boys
CMPI|Capital Music Pianist
CMSS|Capital Music Sound System
CNCL|Con Candela
COCS|Christopher Smith
CONF|Confection
CPRT|Capital Party Rentals
CPTQ|Captain Quint
CRAW|Crawdaddies
CRCL|Crazy Clix
CREH|CRE and Associates
CRIV|Chris Vadala
CRNI|Carnival Day
CRVD|Carolyn Videography
CRYS|Crystal Strings
CSID|Culkin School of Traditional Irish Dance
CTET|Cirque-Tacular Entertainment LLC
CWHT|Hit Time
CYKS|Kaleidoscope
DABE|Dale Bellovich
DACK|David Carlin King
DAEY|Dan Reynolds
DALL|Dallas Cowboy Cheerleader
DAMA|Dawn Maclear
DAMI|Damian Hart
DAVN|Da Vinci's Notebook
DAVT|Dave Taylor
DBAC|David Bach
DBBE|Debbie Bullis
DBEN|Debbie Benner
DBIN|Danny Binstock
DBRE|Dave Breeskin
DCBG|"Woodwinds Productions| LLC"
DCCH|Dr. Chang
DCED|David Cedeno
DCFI|DC's Finest
DCIM|David Caruso Look-a-Like
DCNE|First Dance Impressions
DEAS|Dreamstreet
DEBB|Debbie Brimmer
